group_key,metric,horizon_bucket,location,station_id,forecast_source,forecast_model,month,n,bias,mean_error,std_error,mae,rmse,q05,q25,q50,q75,q95,min_error,max_error,tail_abs_1,tail_abs_2,tail_abs_3,calibration_quality,min_samples_required,bias_shrinkage_applied,bias_raw,bias_shrunk,std_error_raw,std_error_used,quality_warnings
metric=high_temperature|horizon_bucket=12_24h,high_temperature,12_24h,,,,,,87,-0.10512820512820512,-0.14137931034482756,0.5390671796892511,0.36206896551724127,0.5542935858462956,-1.1999999999999993,-0.40000000000000036,0.0,0.0,0.6999999999999993,-1.8000000000000007,0.8999999999999986,0.09195402298850575,0.0,0.0,MEDIUM,30,True,-0.14137931034482756,-0.10512820512820512,0.5390671796892511,0.5390671796892511,[]
metric=high_temperature|horizon_bucket=24_48h,high_temperature,24_48h,,,,,,86,-0.11206896551724135,-0.15116279069767438,0.5420536517935365,0.36976744186046506,0.5596926066632364,-1.1999999999999993,-0.4000000000000017,0.0,0.0,0.6999999999999993,-1.8000000000000007,0.8999999999999986,0.09302325581395349,0.0,0.0,MEDIUM,30,True,-0.15116279069767438,-0.11206896551724135,0.5420536517935365,0.5420536517935365,[]
metric=high_temperature|horizon_bucket=48_72h,high_temperature,48_72h,,,,,,86,-0.12586206896551722,-0.16976744186046508,0.529388052364539,0.36046511627906974,0.5530044787236102,-1.1999999999999993,-0.4000000000000017,0.0,0.0,0.6999999999999993,-1.8000000000000007,0.8999999999999986,0.09302325581395349,0.0,0.0,MEDIUM,30,True,-0.16976744186046508,-0.12586206896551722,0.529388052364539,0.529388052364539,[]
