location,station_id,source_location_name,latitude,longitude,metric,target_date,target_datetime,forecast_issued_at,forecast_mean,actual_value,unit,forecast_source,forecast_model,actual_source,timezone,notes,verification_url_forecast,verification_url_actual
Milan,LIMC,Malpensa Intl Airport Station,45.6306,8.7281,high_temperature,,,,,,C,,,,Europe/Rome,"manual template, not real data until filled and verified; suggested forecast_source=manual_verified_forecast; suggested actual_source=wunderground/open_meteo_archive/NOAA",,
Milan,LIMC,Malpensa Intl Airport Station,45.6306,8.7281,high_temperature,,,,,,C,,,,Europe/Rome,"manual template, not real data until filled and verified; suggested forecast_source=manual_verified_forecast; suggested actual_source=wunderground/open_meteo_archive/NOAA",,
Sao Paulo,,Sao Paulo city centroid,-23.5505,-46.6333,high_temperature,,,,,,C,,,,America/Sao_Paulo,"manual template, not real data until filled and verified; suggested forecast_source=manual_verified_forecast; suggested actual_source=wunderground/open_meteo_archive/NOAA",,
Sao Paulo,,Sao Paulo city centroid,-23.5505,-46.6333,high_temperature,,,,,,C,,,,America/Sao_Paulo,"manual template, not real data until filled and verified; suggested forecast_source=manual_verified_forecast; suggested actual_source=wunderground/open_meteo_archive/NOAA",,
Paris,,Paris city centroid,48.8566,2.3522,high_temperature,,,,,,C,,,,Europe/Paris,"manual template, not real data until filled and verified; suggested forecast_source=manual_verified_forecast; suggested actual_source=wunderground/open_meteo_archive/NOAA",,
Paris,,Paris city centroid,48.8566,2.3522,high_temperature,,,,,,C,,,,Europe/Paris,"manual template, not real data until filled and verified; suggested forecast_source=manual_verified_forecast; suggested actual_source=wunderground/open_meteo_archive/NOAA",,
