location,station_id,metric,target_date,target_datetime,forecast_issued_at,forecast_mean,actual_value,unit,forecast_source,forecast_model,actual_source,source_location_name,latitude,longitude,timezone,horizon_hours,notes
Sao Paulo,,high_temperature,2026-04-03,2026-04-03T00:00:00+00:00,2026-04-02T12:00:00+00:00,28.1,28.1,C,open_meteo,0.24366378784179688,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-03,2026-04-03T12:00:00+00:00,2026-04-02T12:00:00+00:00,28.1,28.1,C,open_meteo,0.0768899917602539,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-03,2026-04-03T12:00:00+00:00,2026-04-03T00:00:00+00:00,28.1,28.1,C,open_meteo,0.04494190216064453,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-04,2026-04-04T00:00:00+00:00,2026-04-03T00:00:00+00:00,28.4,28.4,C,open_meteo,0.05733966827392578,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-04,2026-04-04T00:00:00+00:00,2026-04-03T12:00:00+00:00,28.4,28.4,C,open_meteo,0.05352497100830078,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-04,2026-04-04T12:00:00+00:00,2026-04-03T12:00:00+00:00,28.4,28.4,C,open_meteo,0.0814199447631836,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-01,2026-04-01T12:00:00+00:00,2026-04-01T00:00:00+00:00,12.2,11.9,C,open_meteo,3.003358840942383,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-02,2026-04-02T00:00:00+00:00,2026-04-01T00:00:00+00:00,14.4,13.4,C,open_meteo,0.11873245239257812,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-02,2026-04-02T00:00:00+00:00,2026-04-01T12:00:00+00:00,14.4,13.4,C,open_meteo,0.04029273986816406,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-02,2026-04-02T12:00:00+00:00,2026-04-01T12:00:00+00:00,14.4,13.4,C,open_meteo,0.05841255187988281,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-02,2026-04-02T12:00:00+00:00,2026-04-02T00:00:00+00:00,14.4,13.4,C,open_meteo,0.09310245513916016,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-03,2026-04-03T00:00:00+00:00,2026-04-02T00:00:00+00:00,13.3,13.3,C,open_meteo,0.05841255187988281,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-03,2026-04-03T00:00:00+00:00,2026-04-02T12:00:00+00:00,13.3,13.3,C,open_meteo,0.10633468627929688,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-03,2026-04-03T12:00:00+00:00,2026-04-02T12:00:00+00:00,13.3,13.3,C,open_meteo,0.08380413055419922,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-03,2026-04-03T12:00:00+00:00,2026-04-03T00:00:00+00:00,13.3,13.3,C,open_meteo,0.17178058624267578,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-04,2026-04-04T00:00:00+00:00,2026-04-03T00:00:00+00:00,19.1,17.9,C,open_meteo,0.055909156799316406,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-04,2026-04-04T00:00:00+00:00,2026-04-03T12:00:00+00:00,19.1,17.9,C,open_meteo,0.06175041198730469,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-04,2026-04-04T12:00:00+00:00,2026-04-03T12:00:00+00:00,19.1,17.9,C,open_meteo,0.0737905502319336,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,24.0,target_datetime_from_forecast_issue_plus_horizon
